date,price,spread_to_price
2015-01-02,176.496993371,0.00400435334648
2015-01-05,179.47579342,0.00760893967359
2015-01-06,161.180605134,0.000564518471541
2015-01-07,162.77681466,0.000564550620276
2015-01-08,212.992165477,0.000767028290294
2015-01-09,144.129154669,0.00123818370344
2015-01-12,143.335832058,0.000545011011668
2015-01-13,191.047331033,0.000545157313777
2015-01-14,216.049136772,0.000538541395036
2015-01-15,132.500079165,0.00264121127057
2015-01-16,132.921969955,0.000693517795492
2015-01-20,162.869621258,0.00560707462967
2015-01-21,145.511852711,0.00100129404667
2015-01-22,164.738001244,0.000501023961393
2015-01-23,125.659530914,0.000507253851743
2015-01-26,123.889452593,0.000502195000744
2015-01-27,159.189317543,0.000493736247591
2015-01-28,161.860593724,0.000486062027391
2015-01-29,135.178508578,0.000491196714139
2015-01-30,143.84037765,0.000522480285932
2015-02-02,133.370842454,0.000577480540569
2015-02-03,132.92459267,0.000536975552745
2015-02-04,128.525212775,0.000484657942495
2015-02-05,178.497771237,0.00051463752684
2015-02-06,154.688441905,0.000515677763085
2015-02-09,124.5320337,0.000726074471147
2015-02-10,128.610084611,0.000540458036284
2015-02-11,119.32764207,0.000512319484584
2015-02-12,159.671141401,0.000491623567509
2015-02-13,170.136082066,0.000494527479002
2015-02-17,135.356129812,0.000513981123971
2015-02-18,126.570273748,0.000551586539671
2015-02-19,155.818818852,0.00101272344484
2015-02-20,135.527452903,0.0066647650462
2015-02-23,175.127252794,0.000506903821503
2015-02-24,148.578790999,0.00085053374074
2015-02-25,145.224554807,0.000621217550057
2015-02-26,121.93016244,0.000501003074316
2015-02-27,134.996123198,0.000548152024765
2015-03-02,197.387067908,0.000485916062318
2015-03-03,199.452665935,0.000537426655829
2015-03-04,158.352844941,0.00574793650278
2015-03-05,165.358075966,0.000518997010383
2015-03-06,165.543996554,0.00048221694912
2015-03-09,178.753149956,0.000611790715602
2015-03-10,242.720843796,0.000491956367488
2015-03-11,169.439069001,0.000522255908647
2015-03-12,145.124567317,0.00100893726233
2015-03-13,143.315879162,0.000530678289823
2015-03-16,147.196555288,0.000479638669746
2015-03-17,134.443732031,0.00176224318509
2015-03-18,151.996324887,0.00809048866678
2015-03-19,140.07843494,0.000756150575642
2015-03-20,132.875171232,0.00049990172341
2015-03-23,138.172196719,0.000550274242297
2015-03-24,174.495598062,0.000501907766812
2015-03-25,202.037343707,0.000481563224376
2015-03-26,187.621771185,0.000646076945731
2015-03-27,216.436947251,0.00581018303797
2015-03-30,165.175616864,0.000483171716899
2015-03-31,147.699326926,0.000490913744641
2015-04-01,132.283907616,0.000499221646853
2015-04-02,134.556755183,0.000527289368583
2015-04-06,128.587236505,0.00048863096674
2015-04-07,146.618955547,0.000498238719425
2015-04-08,189.697073489,0.000527892802225
2015-04-09,183.301562867,0.000499362513898
2015-04-10,133.570413044,0.000577006873203
2015-04-13,150.173304599,0.000485163355303
2015-04-14,154.805678454,0.00072080402557
2015-04-15,141.518482535,0.000489584153453
2015-04-16,143.24496641,0.000607414724471
2015-04-17,182.362438184,0.000447328518398
2015-04-20,161.903000927,0.00047980385068
2015-04-21,142.299797233,0.000488123167084
2015-04-22,149.744678355,0.000495113505752
2015-04-23,152.688842353,0.000471329930193
2015-04-24,146.667253126,0.000473104425134
2015-04-27,183.429023272,0.000495444857296
2015-04-28,166.422385115,0.000505465909696
2015-04-29,134.105503498,0.000507451296741
2015-04-30,137.708699231,0.000526174038282
2015-05-01,161.399924015,0.00051348676926
2015-05-04,212.138102251,0.000527674649495
2015-05-05,147.54413792,0.000512864228515
2015-05-06,137.07489717,0.000510352419346
2015-05-07,130.74553185,0.000535640500575
2015-05-08,182.234474367,0.000483341474253
2015-05-11,128.370834503,0.000499258467927
2015-05-12,130.187417505,0.000518534618279
2015-05-13,132.240245851,0.00048767086828
2015-05-14,125.299503574,0.000482404672451
2015-05-15,133.913936608,0.000503179870578
2015-05-18,125.905066911,0.000490910539048
2015-05-19,151.197365677,0.00050339449034
2015-05-20,136.050956489,0.000585308493889
2015-05-21,116.074830649,0.000495882625964
2015-05-22,181.463508934,0.00086929353925
2015-05-26,151.270000908,0.000463356827735
2015-05-27,129.932591849,0.000832965990408
2015-05-28,121.281385698,0.000503442338457
2015-05-29,150.383877741,0.000472345929509
2015-06-01,132.044979476,0.000503760119013
2015-06-02,166.656333176,0.000504277596129
2015-06-03,129.188954456,0.000514068373861
2015-06-04,146.301810569,0.000505101727872
2015-06-05,140.70834145,0.000488835280245
2015-06-08,147.352503564,0.000479854425943
2015-06-09,128.215642032,0.000486743272155
2015-06-10,146.308416634,0.000660107210543
2015-06-11,152.928245433,0.000488308646771
2015-06-12,124.047686118,0.000458304658897
2015-06-15,158.118641497,0.00051268109166
2015-06-16,127.410205966,0.00049797211973
2015-06-17,120.430141521,0.000500217266818
2015-06-18,138.621939196,0.000518829404725
2015-06-19,135.092149324,0.0010016585228
2015-06-22,134.54367208,0.000501158309301
2015-06-23,123.583764149,0.000700255757326
2015-06-24,151.773237789,0.000534046077772
2015-06-25,137.467681988,0.000489362847615
2015-06-26,137.559559069,0.000499928057572
2015-06-29,160.811965233,0.000497264865182
2015-06-30,161.955429497,0.000485734820366
2015-07-01,184.164449835,0.000481933145887
2015-07-02,194.705995785,0.000490171447815
2015-07-06,130.400754391,0.00135133055576
2015-07-07,165.529844307,0.000579170574514
2015-07-08,169.550248118,0.000519413161742
2015-07-09,136.69599905,0.000632707849211
2015-07-10,140.517545199,0.000468935961862
2015-07-13,153.640879645,0.0107339854309
